"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2025-08-30","","10009.009765625","251","326","823.098","","0.908726155757904","3.05999994277954","","166","","163","181","","","0.78680037028177","56.2","4","7","18","16","6","3","0","","","","1","13","39","2","0","0","","","","","",""
"Running","Run","","","","2025-09-05","","18013.94921875","216","278","1464.601","","1.88290047645569","2.65799999237061","","158","","150","168","","","0.685391641008079","88.27","32","37","38","6","0","0","0","","","","8","91","14","0","0","0","","","","","",""
"Running","Run","","","","2025-09-10","","11506.650390625","226","318","942.91","","1.16466224193573","2.74399995803833","","154","","151","175","","","0.736053234890674","62.26","24","11","23","10","0","0","0","","","","6","36","27","1","0","0","","","","","",""
"Running","Run","","","","2025-09-13","","19009.66015625","222","416","1567.671","","1.95876383781433","2.69600009918213","","162","","157","185","","","0.69942841450918","95.33","41","28","6","17","16","9","0","","","","2","99","16","0","0","0","","","","","",""
"Running","Run","","","","2025-09-17","","11237.9501953125","228","334","931.924","","1.13357865810394","2.75399994850159","","160","","157","176","","","0.735185070302735","61","17","6","17","25","3","0","0","","","","4","40","22","2","0","0","","","","","",""
"Running","Run","","","","2025-09-20","","21122.919921875","230","272","1742.039","","2.10169196128845","2.79200005531311","","164","","154","178","","","0.721365852308284","109.39","32","38","39","11","5","0","0","","","","1","100","25","0","0","0","","","","","",""
"Running","Run","","","","2025-09-25","","7125.3701171875","221","386","575.549","","0.721545815467834","2.74300003051758","","154","","153","171","","","0.770774700838089","42.45","14","11","11","7","0","0","0","","","","11","13","11","8","0","0","","","","","",""
"Running","Run","","","","2025-09-27","","15010.2802734375","226","308","1238.046","","1.52224767208099","2.73900008201599","","162","","151","171","","","0.722177649937162","78.98","43","18","16","14","0","0","0","","","","5","50","36","0","0","0","","","","","",""
"Running","Run","","","","2025-10-01","","11202.0703125","234","791","950.097","","1.12610828876495","2.76300001144409","","158","","147","169","","","0.77539998162683","68.06","30","9","22","6","0","0","0","","","","8","38","15","4","2","2","","","","","",""
"Running","Run","","","","2025-10-04","","10011.5","232","417","812.775","","0.972119152545929","2.86100006103516","","160","","148","166","","","0.728140839025807","51.18","26","11","19","2","0","0","0","","","","1","42","15","0","0","0","","","","","",""
"Running","Run","","","","2025-10-07","","10018.3095703125","230","318","827.098","","0.996946930885315","2.79099988937378","","162","","151","173","","","0.74203600365933","54.6","21","13","19","8","0","0","0","","","","5","37","14","3","0","0","","","","","",""
"Running","Run","","","","2025-10-14","","8559.4599609375","225","371","704.921","","0.868626356124878","2.73699998855591","","150","","151","170","","","0.775243888783644","52.11","13","20","12","6","0","0","0","","","","11","18","15","6","2","0","","","","","",""
"Running","Run","","","","2025-10-18","","10013","233","286","824.707","","0.982213079929352","2.83200001716614","","164","","144","158","","","0.725797845194941","51.51","36","23","0","0","0","0","0","","","","0","55","4","0","0","0","","","","","",""
"Running","Run","","","","2025-10-24","","19822.41015625","244","420","1628.078","","1.84879326820374","2.9779999256134","","164","","167","187","","","0.759390069102777","112.98","12","7","24","23","33","11","1","","","","1","51","59","0","0","0","","","","","",""
"Intro Week 1","Custom","","","","2025-11-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
